#description=List of training/reference polygons used for classification of the Antarctic landmass in Sentinel-1A scene (29-03-2025) using 'New Vector Data Container' in SNAP
#defaultCSS=fill:#ffaa00; fill-opacity:0.5; stroke:#ffffff; stroke-opacity:1.0; stroke-width:1.0; symbol:cross
org.esa.snap.Geometry	geometry:Geometry	style_css:String
ID5cc44d9a2978	POLYGON ((-209629.4979391509 2138447.0605865265, -191774.37193308148 2138447.0605865265, -191774.37193308148 2118466.3243416394, -209629.4979391509 2118466.3243416394, -209629.4979391509 2138447.0605865265))	[null]
ID5cc44d9a2979	POLYGON ((-188373.39555097301 2145249.0133507433, -175194.61207030277 2145249.0133507433, -175194.61207030277 2125693.39915362, -188373.39555097301 2125693.39915362, -188373.39555097301 2145249.0133507433))	[null]
ID5cc44d9a297a	POLYGON ((-171368.51364043076 2129519.4975834917, -153513.38763436134 2129519.4975834917, -153513.38763436134 2109963.8833863684, -171368.51364043076 2109963.8833863684, -171368.51364043076 2129519.4975834917))	[null]
ID5cc44d9a297b	POLYGON ((-148411.92306119867 2134195.840108891, -136508.50572381908 2134195.840108891, -136508.50572381908 2116340.7141028214, -148411.92306119867 2116340.7141028214, -148411.92306119867 2134195.840108891))	[null]
ID5cc44d9a297c	POLYGON ((-203252.66722269752 2115490.4700072943, -178170.46640464768 2115490.4700072943, -178170.46640464768 2094234.3676191168, -203252.66722269752 2094234.3676191168, -203252.66722269752 2115490.4700072943))	[null]
ID5cc44d9a297d	POLYGON ((-186247.78531215526 2123992.910962566, -173919.24592701212 2123992.910962566, -173919.24592701212 2116340.7141028214, -186247.78531215526 2116340.7141028214, -186247.78531215526 2123992.910962566))	[null]
ID5cc44d9a297e	POLYGON ((-262769.75390959554 2116765.836150585, -247465.3601901075 2116765.836150585, -247465.3601901075 2104437.296765442, -262769.75390959554 2104437.296765442, -262769.75390959554 2116765.836150585))	[null]
ID5cc44d9a297f	POLYGON ((-276798.78148579295 2097210.2219534614, -261069.2657185413 2097210.2219534614, -261069.2657185413 2085731.9266638455, -276798.78148579295 2085731.9266638455, -276798.78148579295 2097210.2219534614))	[null]
ID5cc44d9a2980	POLYGON ((-294653.9074918623 2089132.903045954, -280199.75786790135 2089132.903045954, -280199.75786790135 2076804.3636608107, -294653.9074918623 2076804.3636608107, -294653.9074918623 2089132.903045954))	[null]
ID5cc44d9a2982	POLYGON ((-277223.9035335565 2083606.3164250278, -259368.77752748708 2083606.3164250278, -259368.77752748708 2078079.7298041014, -277223.9035335565 2078079.7298041014, -277223.9035335565 2083606.3164250278))	[null]
