#description=List of training/reference polygons used for classification of the open water in Sentinel-1A scene (29-03-2025) using 'New Vector Data Container' in SNAP
#defaultCSS=fill:#aa00ff; fill-opacity:0.5; stroke:#ffffff; stroke-opacity:1.0; stroke-width:1.0; symbol:cross
org.esa.snap.Geometry	geometry:Geometry	style_css:String
ID5d7c49f8ef94	POLYGON ((-197373.0659531979 2276426.614285624, -190896.73988298944 2276426.614285624, -190896.73988298944 2271060.5155417374, -197373.0659531979 2271060.5155417374, -197373.0659531979 2276426.614285624))	[null]
ID5d7c49f8ef95	POLYGON ((-188768.80417420663 2274021.1217452614, -182199.95916013807 2274021.1217452614, -182199.95916013807 2269857.769271556, -188768.80417420663 2269857.769271556, -188768.80417420663 2274021.1217452614))	[null]
ID5d7c49f8ef96	POLYGON ((-205144.65723744803 2280034.853096169, -199963.59638128127 2280034.853096169, -199963.59638128127 2277259.2847803654, -205144.65723744803 2277259.2847803654, -205144.65723744803 2280034.853096169))	[null]
ID5d7c49f8ef97	POLYGON ((-204219.46779884683 2289564.3043137616, -195245.1302444151 2289564.3043137616, -195245.1302444151 2281885.2319733715, -204219.46779884683 2281885.2319733715, -204219.46779884683 2289564.3043137616))	[null]
ID5d7c49f8ef98	POLYGON ((-189601.47466894772 2290582.012696223, -182014.92127241782 2290582.012696223, -182014.92127241782 2281330.1183102108, -189601.47466894772 2281330.1183102108, -189601.47466894772 2290582.012696223))	[null]
ID5d7c49f8ef99	POLYGON ((-190896.73988298944 2278462.031050547, -182477.51599171842 2278462.031050547, -182477.51599171842 2276704.1711172047, -190896.73988298944 2276704.1711172047, -190896.73988298944 2278462.031050547))	[null]
ID5d7c49f8ef9a	POLYGON ((-196170.3196830163 2280219.8909838893, -192469.56192861148 2280219.8909838893, -192469.56192861148 2277074.246892645, -196170.3196830163 2277074.246892645, -196170.3196830163 2280219.8909838893))	[null]
ID5d7c49f8ef9b	POLYGON ((-204867.10040586768 2258477.9391767606, -202646.6457532248 2258477.9391767606, -202646.6457532248 2256535.0413556984, -204867.10040586768 2256535.0413556984, -204867.10040586768 2258477.9391767606))	[null]
ID5d7c49f8ef9c	POLYGON ((-212823.72957783806 2263011.367425907, -209863.1233743142 2263011.367425907, -209863.1233743142 2261531.0643241447, -212823.72957783806 2261531.0643241447, -212823.72957783806 2263011.367425907))	[null]
ID5d7c49f8ef9d	POLYGON ((-209122.97182343324 2262178.6969311656, -206902.51717079035 2262178.6969311656, -206902.51717079035 2260883.431717124, -209122.97182343324 2260883.431717124, -209122.97182343324 2262178.6969311656))	[null]
ID5d7c49f8ef9e	POLYGON ((-178499.2014057332 2273466.0080821, -173873.2542127272 2273466.0080821, -173873.2542127272 2268192.4282820737, -178499.2014057332 2268192.4282820737, -178499.2014057332 2273466.0080821))	[null]
ID5d7c49f8ef9f	POLYGON ((-195060.09235669486 2298631.1608120534, -187473.53896016494 2298631.1608120534, -187473.53896016494 2292894.986292726, -195060.09235669486 2292894.986292726, -195060.09235669486 2298631.1608120534))	[null]
ID5d7c49f8efa0	POLYGON ((-208475.3392164124 2286788.7359979576, -204959.61934972779 2286788.7359979576, -204959.61934972779 2284105.6866260143, -208475.3392164124 2284105.6866260143, -208475.3392164124 2286788.7359979576))	[null]
ID5d7c49f8efa1	POLYGON ((-226701.5711568562 2268007.3903943533, -224943.7112235139 2268007.3903943533, -224943.7112235139 2267452.2767311926, -226701.5711568562 2267452.2767311926, -226701.5711568562 2268007.3903943533))	[null]
ID5d7c49f8efa2	POLYGON ((-224666.15439193355 2266619.6062364513, -222075.62396385017 2266619.6062364513, -222075.62396385017 2265324.34102241, -224666.15439193355 2265324.34102241, -224666.15439193355 2266619.6062364513))	[null]
ID5d7c49f8efa3	POLYGON ((-228644.46897791873 2266989.682011892, -227719.27953931753 2266989.682011892, -227719.27953931753 2265786.9357417105, -228644.46897791873 2265786.9357417105, -228644.46897791873 2266989.682011892))	[null]
ID5d7c49f8efa4	POLYGON ((-226701.5711568562 2265694.4167978503, -225961.41960597524 2265694.4167978503, -225961.41960597524 2264861.746303109, -226701.5711568562 2264861.746303109, -226701.5711568562 2265694.4167978503))	[null]
ID5d7c49f8efa5	POLYGON ((-178776.7582373136 2266712.1251803115, -174613.40576360814 2266712.1251803115, -174613.40576360814 2264399.1515838085, -178776.7582373136 2264399.1515838085, -178776.7582373136 2266712.1251803115))	[null]
ID5d7c49f8efa6	POLYGON ((-203386.79730410574 2255887.4087486775, -200981.3047637426 2255887.4087486775, -200981.3047637426 2254684.662478496, -203386.79730410574 2254684.662478496, -203386.79730410574 2255887.4087486775))	[null]
ID5d7c49f8efa7	POLYGON ((-160217.7018863904 2247007.807354595, -157684.6562536956 2247007.807354595, -157684.6562536956 2243431.742931967, -160217.7018863904 2243431.742931967, -160217.7018863904 2247007.807354595))	[null]
ID5d7c49f8efa8	POLYGON ((-133993.22945378564 2239408.670456511, -131460.18382109085 2239408.670456511, -131460.18382109085 2236577.619455264, -133993.22945378564 2236577.619455264, -133993.22945378564 2239408.670456511))	[null]
ID5d7c49f8efa9	POLYGON ((-128033.12208273911 2240600.69193072, -121626.00665886406 2240600.69193072, -121626.00665886406 2237173.6301923683, -128033.12208273911 2237173.6301923683, -128033.12208273911 2240600.69193072))	[null]
ID5d7c49f8efaa	POLYGON ((-148148.48446002114 2257736.000622479, -140996.3556147653 2257736.000622479, -140996.3556147653 2252222.901304261, -148148.48446002114 2252222.901304261, -148148.48446002114 2257736.000622479))	[null]
ID5d7c49f8efab	POLYGON ((-137420.29119213737 2251328.885198604, -132056.1945581955 2251328.885198604, -132056.1945581955 2246858.804670319, -137420.29119213737 2246858.804670319, -137420.29119213737 2251328.885198604))	[null]
ID5d7c49f8efac	POLYGON ((-171094.89783855033 2280831.416685284, -163048.75288763747 2280831.416685284, -163048.75288763747 2270848.2368387813, -171094.89783855033 2270848.2368387813, -171094.89783855033 2280831.416685284))	[null]
ID5d7c49f8efad	POLYGON ((-161856.73141342818 2270550.231470229, -152618.56498830605 2270550.231470229, -152618.56498830605 2261610.0704136593, -161856.73141342818 2261610.0704136593, -161856.73141342818 2270550.231470229))	[null]
ID5d7c49f8efae	POLYGON ((-181227.08036932943 2290814.5965317874, -173180.9354184166 2290814.5965317874, -173180.9354184166 2282768.4515808746, -181227.08036932943 2282768.4515808746, -181227.08036932943 2290814.5965317874))	[null]
