#description=List of training/reference polygons used for classification of the sea ice in Sentinel-1A scene (29-03-2025) using 'New Vector Data Container' in SNAP
#defaultCSS=fill:#ff00aa; fill-opacity:0.5; stroke:#ffffff; stroke-opacity:1.0; stroke-width:1.0; symbol:cross
org.esa.snap.Geometry	geometry:Geometry	style_css:String
ID5d37df999db8	POLYGON ((-188432.6931184106 2208415.198407776, -182480.98444972083 2208415.198407776, -182480.98444972083 2202463.4897390865, -188432.6931184106 2202463.4897390865, -188432.6931184106 2208415.198407776))	[null]
ID5d37df999db9	POLYGON ((-174403.66554221325 2215642.273219757, -166751.46868246928 2215642.273219757, -166751.46868246928 2208415.198407776, -174403.66554221325 2208415.198407776, -174403.66554221325 2215642.273219757))	[null]
ID5d37df999dba	POLYGON ((-153572.68520179903 2215642.273219757, -139968.77967336524 2215642.273219757, -139968.77967336524 2208415.198407776, -153572.68520179903 2208415.198407776, -153572.68520179903 2215642.273219757))	[null]
ID5d37df999dbb	POLYGON ((-208413.4293632977 2201188.123595796, -199485.86636026303 2201188.123595796, -199485.86636026303 2191835.4385449975, -208413.4293632977 2191835.4385449975, -208413.4293632977 2201188.123595796))	[null]
ID5d37df999dbc	POLYGON ((-217766.11441409594 2190134.9503539433, -211389.2836976426 2190134.9503539433, -211389.2836976426 2180357.143255382, -217766.11441409594 2180357.143255382, -217766.11441409594 2190134.9503539433))	[null]
ID5d37df999dbd	POLYGON ((-187582.4490228835 2199062.513356978, -179080.00806761236 2199062.513356978, -179080.00806761236 2191835.4385449975, -187582.4490228835 2191835.4385449975, -187582.4490228835 2199062.513356978))	[null]
ID5d37df999dbe	POLYGON ((-231370.01994252973 2178656.6550643276, -222867.5789872586 2178656.6550643276, -222867.5789872586 2173130.0684434013, -231370.01994252973 2173130.0684434013, -231370.01994252973 2178656.6550643276))	[null]
ID5d37df999dbf	POLYGON ((-257727.58690387016 2192685.6826405246, -250075.39004412616 2192685.6826405246, -250075.39004412616 2185033.4857807807, -257727.58690387016 2185033.4857807807, -257727.58690387016 2192685.6826405246))	[null]
ID5d37df999dc0	POLYGON ((-269205.8821934862 2190560.072401707, -261978.80738150573 2190560.072401707, -261978.80738150573 2186733.973971835, -269205.8821934862 2186733.973971835, -269205.8821934862 2190560.072401707))	[null]
ID5d37df999dc1	POLYGON ((-267930.5160501955 2186733.973971835, -264954.6617158506 2186733.973971835, -264954.6617158506 2178231.533016564, -267930.5160501955 2178231.533016564, -267930.5160501955 2186733.973971835))	[null]
